video_id,publishedAt,channelId,title,description,channelTitle,tags,viewCount,likeCount,favoriteCount,commentCount,duration_timedelta,duration_hhmmss
Fkmm0E_qgm8,2017-06-02T08:49:46Z,UCArk93C2pbOvkv6jWz-3kAg,"Si Ferry Meets...Kevin Thomson Episode 1 - Exciting Early days at Hibs, Out on the Town with Broony","In Part 1 of Si Ferry Meets… Kevin Thomson, the former Hibs, Rangers and Boro’ man discusses the early years breaking into the Hibs first team with some of Scotland’s brightest young prospects.  He also divulges into the active social life at the club when going out in Edinburgh as a first team player as well as acknowledging the influence Tony Mowbray had on everyone’s career at Hibs.",Open Goal,"['Kevin Thomson', 'Rangers', 'Rangers Fc', 'Hibernian', 'kevin thomson tackle keane', 'kevin thomson keane']",47975,152,0,7,0 days 00:06:45,00:06:45
wA7v2RtVdSA,2017-05-26T12:49:13Z,UCArk93C2pbOvkv6jWz-3kAg,Open Goal Trailer,,Open Goal,"['open goal', 'kevin thomson', ""darren o'dea"", 'charlie mulgrew', 'charlie adam', 'si ferry', 'simon ferry', 'football show', 'online football', 'soccer', 'soccer show', 'online sooccer']",8709,37,0,2,0 days 00:00:48,00:00:48
qJtjClGH_uo,2022-05-31T16:00:33Z,UCArk93C2pbOvkv6jWz-3kAg,"TEAM OF THE SEASON PODCAST! | Si Ferry, Paul Slane, Kevin Kyle & Derek Ferguson's Premiership TOTS","SUBSCRIBE TO YOUTUBE CHANNEL FOR FREE - https://bit.ly/2QGY26R

Si Ferry, Paul Slane, Kevin Kyle & Derek Ferguson's pick their 2021/22 Scottish Premiership Teams of the Season!

#SPFL #TeamOfTheSeason #Football",Open Goal,"['open goal', 'si ferry', 'simon ferry', 'Paul slane', 'Andy halliday', 'Kevin kyle', 'Barry ferguson', 'scotland', 'scotland vs ukraine', 'zinchenko', 'Hampden park', 'Andy robertson', 'che adams', 'tartan army', 'spfl', 'team of the season', 'pfa', 'kyogo furuhashi', 'hatate', 'maeda', 'jota', 'Calvin bassey', 'ange postecoglou', 'podcast', 'van bronckhorst', 'celtic', 'rangers', 'Europa League final', 'Steve clarke', 'callum mcgregor', 'world cup', 'play-off', 'Qatar 2022', 'talksport', 'ally mccoist', 'kris boyd', 'sky sports', 'mcfadden', 'songs', 'fans', 'f2']",45400,493,0,69,0 days 00:12:34,00:12:34
9H8JamCChUc,2022-05-25T17:45:32Z,UCArk93C2pbOvkv6jWz-3kAg,SCOTTISH FOOTBALL END OF SEASON REVIEW! | Keeping The Ball On The Ground,"SUBSCRIBE TO YOUTUBE CHANNEL FOR FREE - https://bit.ly/2QGY26R

Derek has returned to tell us all about his travels to Seville as well as join the lads to review the 2022/23 Scottish Football season as a whole as we pick out the key moments from the last year in a season that had it all!",Open Goal,"['open goal', 'si ferry', 'simon ferry', 'rangers', 'Europa League final', 'frankfurt', 'rangers fans', 'seville', 'sevilla', 'van bronckhorst', 'bt sport', 'ally mccoist', 'tavernier', 'goldson', 'Ryan kent', 'morelos', 'aribo', 'sakala', 'roofe', 'ibrox', 'red bull leipzig', 'souness', 'durrant', 'spfl', 'highlights', 'goals', 'rangers songs', 'allan mcgregor', 'Andy halliday', 'jamie carragher', 'podcast', 'football', 'Barry ferguson', 'f2', 'Aaron Ramsey', 'Penalties', 'Aribo']",67208,634,0,62,0 days 01:23:19,01:23:19
m5A7sBxlqYQ,2022-05-19T16:16:28Z,UCArk93C2pbOvkv6jWz-3kAg,RANGERS LOSE EUROPA LEAGUE FINAL ON PENS TO FRANKFURT | Keeping The Ball On The Ground,"SUBSCRIBE TO YOUTUBE CHANNEL FOR FREE - https://bit.ly/2QGY26R

It was heartbreak in #Seville for #Rangers on Wednesday night as they came agonisingly close to Europa League glory only to beaten on penalties by #Frankfurt. 

The lads look back on the key moments of the game and look ahead to Saturday's #ScottishCup Final as the #Ibrox club must pick themselves up to face Open Goal's, Andy Halliday's #Hearts.",Open Goal,"['open goal', 'si ferry', 'simon ferry', 'rangers', 'Europa League final', 'frankfurt', 'rangers fans', 'seville', 'sevilla', 'van bronckhorst', 'bt sport', 'ally mccoist', 'tavernier', 'goldson', 'Ryan kent', 'morelos', 'aribo', 'sakala', 'roofe', 'ibrox', 'red bull leipzig', 'souness', 'durrant', 'spfl', 'highlights', 'goals', 'rangers songs', 'allan mcgregor', 'Andy halliday', 'jamie carragher', 'podcast', 'football', 'Barry ferguson', 'f2', 'Aaron Ramsey', 'Penalties', 'Aribo']",61610,687,0,96,0 days 00:33:51,00:33:51
4Cx9fVMfK48,2022-05-17T16:00:01Z,UCArk93C2pbOvkv6jWz-3kAg,CHARLIE MULGREW BACK ON THE SHOW! Europa Final & Season Review | Keeping The Ball On The Ground,"SUBSCRIBE TO YOUTUBE CHANNEL FOR FREE - https://bit.ly/2QGY26R

Charlie Mulgrew make a long-awaited return to the podcast as he joins the lads to preview Rangers' massive game in the Europa League Final in Seville and of course share a few hilarious stories from his career.

#Rangers #Celtic #EuropaLeague",Open Goal,"['open goal', 'si ferry', 'simon ferry', 'Charlie mulgrew', 'celtic', 'ange postecoglou', 'champions', 'rogic', 'bitton', 'trophy day', 'rangers', 'Europa League final', 'frankfurt', 'rangers fans', 'seville', 'sevilla', 'van bronckhorst', 'bt sport', 'ally mccoist', 'talksport', 'tavernier', 'goldson', 'Ryan kent', 'morelos', 'aribo', 'sakala', 'roofe', 'ibrox', 'red bull leipzig', 'behave', 'souness', 'durrant', 'aberdeen', 'dundee united', 'spfl', 'highlights', 'goals', 'rangers songs', 'allan mcgregor', 'Andy halliday', 'jamie carragher', 'podcast', 'football', 'Barry ferguson', 'f2']",86899,829,0,58,0 days 01:07:27,01:07:27
DLB-W7fMLt4,2022-05-16T16:00:06Z,UCArk93C2pbOvkv6jWz-3kAg,DEREK McINNES | Open Goal Meets... Glen's Vodka SPFL MOTM & Kilmarnock Manager,"SUBSCRIBE TO YOUTUBE CHANNEL FOR FREE - https://bit.ly/2QGY26R

We've got an amazing interview for you this week as Kilmarnock Manager, Derek McInnes joins Si and Slaney to talk through this season's promotion back to the Premiership as well as share a variety of brilliant stories from his career as a Gaffer at Aberdeen and St Johnstone plus his playing days at Rangers and Dundee United.

#Aberdeen #Rangers #Killie",Open Goal,"['open goal', 'si ferry', 'simon ferry', 'rangers', 'rangers Europa League final', 'seville', 'sevilla', 'rangers fans', 'van bronckhorst', 'bt sport', 'ally mccoist', 'Eintracht frankfurt', 'Ryan kent', 'allan mcgregor', 'aberdeen', 'morelos', 'roofe', 'sakala', 'tavernier', 'rangers songs', 'goldson', 'barisic', 'bassey', 'ibrox', 'semi-final', 'red bull leipzig', 'celtic park', 'ange Postecoglou', 'gazza', 'Paul gascoigne', 'Barry ferguson', 'Walter smith', '9 in a row', 'dundee united', 'Charlie miller', 'is ferry meets', 'keeping the ball on the ground']",88937,1039,0,88,0 days 01:24:08,01:24:08
IKXceGLfqA8,2022-05-12T18:06:19Z,UCArk93C2pbOvkv6jWz-3kAg,CELTIC ARE CHAMPIONS & DEREK'S OFF TO SEVILLE! | Right In The Coupon,"SUBSCRIBE TO YOUTUBE CHANNEL FOR FREE - https://bit.ly/2QGY26R

The boys react to Celtic clinching the title last night at Tannadice, Dundee being relegated and Derek Ferguson's plans for Rangers' Europa League Final in Seville next week!

#Celtic #Rangers #EuropaLeagueFinal",Open Goal,"['open goal', 'si ferry', 'simon ferry', 'rangers', 'Europa League final', 'frankfurt', 'seville', 'sevilla', 'van bronckhorst', 'ange postecoglou', 'tavernier', 'ibrox', 'goal', 'ally mccoist', 'bt sport', 'kenny miller', '2008 manchester', 'lundstram', 'goals', 'highlights', 'kent', 'roofe', 'braga', 'dortmund', 'spfl', 'celtic', 'champions', 'dundee united', 'tannadice', 'mcgregor', 'football', 'scotland', 'Joe hart', 'podcast', 'undr the cosh', 'Andy halliday', 'Barry ferguson', 'champions league', 'rangers fans', 'broomhill', 'manager', 'interview', 'f2', '1-1', 'giakoumakis', 'celebrations']",50328,668,0,72,0 days 00:53:11,00:53:11
O6oJGmBJbOw,2022-05-10T16:00:19Z,UCArk93C2pbOvkv6jWz-3kAg,RANGERS IN EUROPA LEAGUE FINAL & OPEN GOAL BROOMHILL FC LAUNCHES! | Keeping The Ball On The Ground,"SUBSCRIBE TO YOUTUBE CHANNEL FOR FREE - https://bit.ly/2QGY26R

Rangers have done it! The Ibrox club reached the Europa League Final in Seville after defeating Red Bull Leipzig. The boys react to the historic achievement and assess if they can go all the way and become club legends forever.

That wasn't the only historic feat last week as we were delighted to announce a new groundbreaking partnership that takes Simon Ferry into his first job in management and will bring our viewers inside the dressing room... introducing Open Goal Broomhill FC! 

#Rangers #EuropaLeagueFinal #OpenGoalBroomhill FC",Open Goal,"['open goal', 'si ferry', 'simon ferry', 'rangers', 'Europa League final', 'frankfurt', 'seville', 'sevilla', 'van bronckhorst', 'ange postecoglou', 'tavernier', 'ibrox', 'goal', 'ally mccoist', 'bt sport', 'kenny miller', '2008 manchester', 'red bull leipzig', 'lundstram', 'goals', 'highlights', 'kent', 'roofe', 'braga', 'dortmund', 'spfl', 'celtic', 'champions', 'dundee united', 'tannadice', 'mcgregor', 'football', 'scotland', 'Joe hart', 'podcast', 'undr the cosh', 'Andy halliday', 'Barry ferguson', 'carragher', 'champions league', 'rangers fans', 'broomhill', 'manager', 'interview', 'f2']",78479,930,0,86,0 days 01:13:54,01:13:54
S41-KBgr3Ao,2022-05-06T07:05:24Z,UCArk93C2pbOvkv6jWz-3kAg,DID SLANEY PREDICT RANGERS TO GET INTO EUROPA LEAGUE FINAL? | Right In The Coupon,"SUBSCRIBE TO YOUTUBE CHANNEL FOR FREE - https://bit.ly/2QGY26R

It was an incredible night for Rangers on Thursday at Ibrox as they defeated Red Bull Leipzig to make it into the Europa League Final! Did the boys predict it would happen?

#Rangers #EuropaLeague #Football",Open Goal,"['open goal', 'si ferry', 'simon ferry', 'rangers', 'red bull Leipzig', '3-1', 'ibrox', 'ally mccoist', 'tavernier', 'van bronckhorst', 'kamara', 'lundstram', 'goals', 'highlights', 'semi final', 'final', 'sevilla', 'seville', 'europa league', 'west ham', 'frankfurt', 'bt sport', 'Alex rae', 'kenny miller', 'celtic', 'champions', 'hearts', 'ange postecoglou', 'celtic park', 'allan mcgregor', 'jota', 'Carter vickers', 'aberdeen', 'hibs', 'hibernian', 'celtic fans', 'rangers fans', 'old firm', 'undr the cosh', 'podcast', 'football', 'soccer am', 'spfl', 'scotland', 'world cup', 'ukraine']",44628,522,0,45,0 days 00:41:38,00:41:38
